Text,Category,Source
"Продаж видової 3-кімнатної квартири в ЖК Tetris Hall 2, вул. Івана Федорова, 2а, центр, Печерськ.
Без комісії. Пряма пропозиція від власника, СПП, є відеоогляд. Обладнана інвентором. Пряцює при відключені опалення/вода/ліфти.

У продажу — унікальна 3-кімнатна квартира площею 110 м² в одному з найпрестижніших житлових комплексів Києва — Tetris Hall. Будинок із басейном на даху, лаунж-зоною та панорамними терасами — символ сучасного стилю та комфорту в самому серці столиці.

Про квартиру
Квартира розташована на 18-му поверсі, із панорамним видом на НСК «Олімпійський» та історичну частину міста. Виконано новий дизайнерський ремонт за індивідуальним проєктом.
Усе абсолютно нове: меблі, техніка, освітлення та декор — від провідних світових брендів.

Планування
Простора кухня-вітальня з виходом на великий балкон
Майстер-спальня з гардеробною кімнатою та власною ванною
Кабінет / дитяча / гостьова кімната
Гостьовий санвузол із гігієнічним душем

Оснащення
Преміальні двері, паркет, плитка, сантехніка
Сценарне освітлення, автоматичні штори та жалюзі
Сигналізація, відеоспостереження, обладнана інвентором.
Відеоогляд квартири доступний за запитом


Про комплекс
Tetris Hall 2 — закрита й охоронювана територія з інфраструктурою для комфортного життя:
Дитячий садок “Академія А” на території
Зелений двір із дитячими та спортивними майданчиками
Власний фітнес-зал і дитяча кімната
Підземний паркінг, укриття
Сучасне лобі понад 700 м²
Лаунж-зона з басейном і BBQ на даху
При відключенні працює опалення/вода/ліфти.

Ця квартира — ідеальний варіант для тих, хто цінує естетику, статус і комфорт у кожній деталі.
ЖК Tetris Hall — місце, де життя набуває стилю.

Зв’яжіться з агентством «Маяк», щоб домовитись про перегляд.
Для колег-рієлторів — СПП, звертайтеся.",3-room,LUN
"Дворівнева квартира із зимовим садом у серці Подолу, 
Нижній Вал 27-29, 
5/6 поверхи, 
126 м.кв.
Історичний центр Києва, Поділ.

Новобудова, неймовірний вигляд з балкону - на Андріївську церкву, Софійський та Михайлівський Собори. 5 хв до Андріївського узвозу.
Вхід у метро Контрактова площа - прямо у внутрішньому дворі будинку.

2 майстер-спальні з санвузлами та гардеробом, кабінет, кухня із їдальнею, спортивна зона, вітальня (1 спальня та вітальня- «за трьома стінами», 2 виходи з квартири на 5 та 6 поверхи)
Унікальний зимовий сад зі скляним дахом.

Три санвузли, 
підігрів підлоги по всій площі, утеплення стін та стелі, автономне опалення, очистка води, система витяжної вентиляції, кондиціонування, система енергозабезпечення на час blackout.
Велика парковка біля будинку, ліфти, в т.ч грузовий, консьєрж, відеоспостереження. 
Пільгові тарифи 50% на електроенергію у опалювальний сезон.
Власник. Без комісії. Більше 3 років у власності.",3-room,LUN
"На продаж пропонується чудова 4-х кімнатна квартира площею 135.5 м2 в ЖК ""Новопечерські Липки"", Печерський р-н

5/17 поверх / 135.5 м2 / 3 спальні / вид на вул. Верхогляда / Печерський р-н / Звіринецька

Планування:

- Основна спальня з власним санвузлом

- 2 окремі спальні

- Санвузол

- Гардеробна

- Велика кухня-вітальня(68.9 м2)

- Лоджія

Простора квартира в самому центрі Новопечерських Липок, поруч з всією необхідною інфраструктурою комплексу.
В оренду ніколи не здавалась, проживали лише власники, має гарний косметичний стан та всі необхідні побутові пристрої.
З бонусів - гарний вид.


Окремо є в продажі є паркомісце (ціна по запиту)",3-room,LUN
"ЖК «Ренесанс»
📍 вул. Новоселецька, 10
Продаж 3-кімнатної квартири

✨ Преміальні апартаменти в автономному будинку
⚡️ Завжди є світло, опалення та вода

Характеристики:
• Поверх: 2/9
• Площа: 144 м² (житлова — 80 м², кухня — 19 м²)
• Висота стель: 3,10 м
• Двостороння квартира
• На поверсі лише 2 квартири — максимум приватності

Планування:
• Простора кухня-вітальня
• 2 спальні з власними санвузлами
• Пральна кімната + гостьовий санвузол
• Окрема гардеробна

Деталі інтер’єру:
Класика

Будинок та двір:
ЖК Renaissance Residence розташований у Посольському кварталі Печерська — одному з найпрестижніших районів Києва.
Технічні переваги та комфорт:
• Автономне опалення: 3 котельні з комп’ютерним управлінням усього 15 котлів, розділені по секціях:
✔️1 котел — опалення
✔️2 котли — гаряча вода
• Потужний генератор з Нідерландів
• Власна трансформаторна підстанція
• Сучасна система кондиціонування
• Безшумні ліфти, монолітно-каркасна технологія будівництва, стіни з керамоблоку без додаткового утеплення фасаду
• Цілодобове відеоспостереження та охорона на посту
• Підземний паркінг на 125 місць (вартість від $60 000 за місце)
• Зона очікування для гостей у кожному будинку

Комунальні послуги: 58грн/м² — включають усе.
Управляюча компанія забезпечує високий рівень сервісу, уважно реагує на звернення мешканців, дбає про будинок, сад та спільні простори.",3-room,LUN
"Нова пропозиція без комісії для покупця.

Продаж 3 кімнатної дворівневої квартири 90 м2 котра знаходиться на 9 поверсі десяти поверхового будинку.

Київська область, обухівський район, Новообухівська траса 4 км від Київа, село Ходосівка, Новий ЖК , Вулиця Леоніда Каденюка 18.

Будинок 2025 року, здан, введений в експлуатацію!!! У будинку є бомбосховище.

Всі питання по телефону

Побудований:
-червона цегла; стіна 60 см.
-утеплення — мінеральна вата.

Комунікації: 

-властна свердловина 200 м, артезіанська вода;
-світло на квартиру 8 кВт. прямі договора ( не комерційні тарифи )
-газ, встановлено, газовий 2 контурний котел, індивідуальне опалення;
-централізована каналізація.

У квартирі зроблено:
-штукатурка під чистову:
-стяжка під ламінат, або керамограніт;
-електрика; 
-розведені всі комунікації (вода, каналізація)
-встановлено газовий двоконтурний коте;
-розведено опалення;
-двокамерні вікна;
Квартира готова під чистовий ремонт.

Дуже вдале планування квартири:
-кухня-вітальня;
-3 кімнати
-2 лоджії;
-2 санвузла;
-коридор.

Квартира дворівнева також є можливість зробити дві однокімнатні квартири по 45 м2, і дуже вигідно здавати в оренду.

Двір облаштований дитячими майданчиками, зоною відпочинку, гостьовими паркінгами, встановлені шлагбауми. 

Поряд є все для комфортного проживання, розвинена інфраструктура:
-охорона, закрита територія та відеоспостереження у під’їзді, дворі, по всьому периметру;
-паркінг;
-дитячий садок, школа, та дитячі ігрові майданчики;
-секції: боксу, боротьби, гімнастика, танці, футбол, баскетбол;
-спортивні майданчики та прогулянкові алеї;
-магазини (продуктові, побутові), аптеки, пошта, салони краси, фітнес-клуб, гольф клуб;
-поруч — сосновий ліс, Голосіївський заповідник, озера, пляжі, зони відпочинку, гірки;
-амбулаторія, поліклініка;
-до Києва 4 км, 15 хвилин до Печерська.

Ціна у готовому зданому в експлуатацію будинку: 81.000 у.о. без комісії.

Запрошую на перегляд буду рад показати у будь який зручний для Вас час.",3-room,LUN
"Продаж без комісії затишної 3к квартири по вул. Братства тарасівців, 12/37, Дарницкий район, Лівий берег 

 Загальна площа 99,6 м2, житлова площа 58 м2, кухня 14 м2

Квартира розташована на 15 поверсі 24 поверхового будинку

Квартира складається з:

2 спальні кімнати 
Просторий зал
Велика кухня
Роздільний санвузол з ванною
Коридор
Засклений балкон


В квартирі відмінне двостороннє планування, всі кімнати роздільні. Простора вітальня з великими вікнами забезпечує достатньо світла та затишку, велика спальня та окрема кімната для кабінету або дитячої!


Будинок 2003 року, побудований за монолітно-каркасною технологією, взимку теплий, літом прохолодний. Під’їзд в середині двору. Наприкінці 2024 року зроблений капітальний ремонт, консьєрж, 4 ліфти. Біля будинку завжди є паркомісця, але, за потреби, є капітальний гараж за домовленістю. 

Будинок розташований в безпосередній близькості до озер та паркових зон, що робить його ідеальним місцем для життя. 

Дуже зручне розташування: до м. «Харківська» 5 хвилин пішки, поряд два торгівельні центри та фермерський ринок.


Великий досвід допомоги по купівлі квартир за державними програмами, безготівковий розрахунок:
1) Є-оселя (єОселя), єВідновлення, Сертифікат,
2) Житло для ВПО та військових (постанова 280 та інші),Держмолодь кредит.


Ціна 109000 у.о.",3-room,LUN
"Архітектора Вербицького 22/1 Дарницький район Харківська метро пішки.
Продам 3-х кімнатну квартиру по вулиці Архітектора Вербицького 22/1. Харківський масив. Дарницький район. 9-й поверх, 9 поверхового будинку 96 серії ( 10-й поверх технічний ), 102/64/9 кв.м. Квартира складається з кухні, вітальні, 3-х спален, санвузла роздільного в кафелі та 4-х балкона засклених. Житловий стан: деревяні склопакети, ліноліум, вбудована кухня, міжкімнатні двері - дерево. Броньовані двері, домофон, кабельне телебачення, інтернет.
Розвинута інфраструктура: школи, дитячі садки, ТРЦ, фітнес-клуб Спортлайф, супермаркети, ринок, поліклініка, зона відпочинку, озера, парк.
Зручна транспортна розвязка. Станція метро Харківська 10 хвилини пiшки.",3-room,LUN
"ПРОДАЖ унікальної VIP квартири в ЖК «Ярославів Град»

м. Київ, вул. Бульварно-Кудрявська, 17А

14-й поверх з 19

ПЛОЩА – 127 м.кв.

До Вашої уваги пропонується нова стильна квартира виконана за авторським проектом. Це унікальна квартира, спроектована згідно сучасних стандартів та має технологію розумного будинку. В квартирі виконаний сучасний авторський ремонт з якісної побутової техніки та меблевої фурнітури від провідних світових брендів.

ПЛАНУВАННЯ:

- Вхідна група у вигляді просторого фоє з виходом до інших кімнат;

- Пральна кімната;

- Гостьвий санвузол (душ);

- Велика кухня-вітальня з панорамним видом на місто і виходом на відкритий балкон;

- Спальна кімната;

- Спальна кімната «Master Bedroom» з екокаміном, власним санвузлом (ванна) та гардеробом;

Вдале планування дозволяє максимально ефективно використовувати кожен квадратний метр та створює необхідний комфорт і затишок.

КОМПЛЕКТАЦІЯ:

- Телевізор з технологією Smart-TV;

- Холодильник двохсекційний;

- Витяжка;

- Варильна поверхня;

- Духова шафа «Bosch»;

- Мікрохвильова піч «Bosch»;

- Кавомашина;

- Посудомийна машина;

- Пральна машина;

- Бойлер;

КОМУНІКАЦІЇ:

- ОСВІТЛЕННЯ – комбінованого типу, з розподіленням на групи та зонуванням;

- ОПАЛЕННЯ – автономне на будинок, індивідуальне по квартирі – горизонтальне (тепла підлога), вертикальна (радіаторна система) система кондиціонування;

- КЛІМАТ контроль – система кондиціювання;

- ВОДА – централізована з додатковим автономним оснащенням зовнішньої фільтрації на будинок індивідуальна система очистки та фільтрації води «Аквантіс»;

- КАНАЛІЗАЦІЯ – централізована;

- ІНТЕРНЕТ – швидкісний (оптоволокно).

Квартира оснащена новітньою технологію розумного будинку останнього покоління, яка дозволяє дистанційно через мобільний додаток користуватися всіма сервісами та комунікаціями та налаштовувати їх в різних режимах (світло, опалення, клімат, кондиціювання, відкриття ролетів тощо)

СЕРВІСИ

- ОХОРОНА – цілодобова внутрішня будинку та прилеглої території;

- ВІДЕОСПОСТЕРЕЖЕННЯ – зовнішнє та внутрішнє;

- ПРОПУСКНА система за картками;

- ВІДЕОДОМОФОН на вхід;

- ПАРКІНГ – підземний;

- УКРИТТЯ – бетономонолітна основа;

- ДВІР закритого типу з ландшавним дизайном та зоною для відпочинку;

«Ярославів Град» новий житловий квартал, з продуманою ергономікою і комплексним підходом для людей, що віддають перевагу комфортному, стильному і динамічному способу життя. Закрита територія під цілодобовою охороною. Дворівневий підземний паркінг. Зручне розташування комлексу дозволить вам швидко добиратися у діловий центр столиці та ефективно розпоряджатися своїм часом.

A29434",3-room,LUN
"БЕЗ КОМІСІЇ. Ексклюзив. ПЕЧЕРСЬК. ЖК НОВОПЕЧЕРСЬКІ Липки. Вул.Андрія Верхогляда,5.
Квартира створена з любовʼю, використанні якісні матеріали, на підлозі в кімнатах паркетна дошка, у вітальні натуральний паркет ( вишня); коридор, кухня , гардеробні та балкони,санвузли- плитка.
Кухня з панорамним видом на парк та місто, вся техніка BOSCH ( посудомиюча машинка, мікрохвильова піч, духовка), встановлено система осмос ( очищення води), великий холодильник та морозильна камера; у вітальні новий диван, електро камін, що додасть романтики Вашим вечорам; дві кімнати ( дитяча та спальня); дві великі гардеробні; два санвузли ( душ, ванна), два балкони.
ЖК НОВОПЕЧЕРСЬКІ ЛИПКИ- це один із модних та інстаграмних комплексів, де ти проживаєш своє найкраще життя; на території є: супермаркети, спортклуб , дитячі садочки, школа, нотаріус, стоматологія, клініка косметології, кавʼярні, ресторани,банк та ін.
ЦЕ ТВОЄ МІСТО, а в 10 хвилинах на авто( або в 20 хвилин пішки) БОТАНІЧНИЙ САД- для прогулянок
Ідеальний варіант, це той, що ти створив для себе сам - але саме ця квартира, може стати твоїм початком ідеального життя.",3-room,LUN
"3-кімнатна квартира в ЖК «Світло Парк», новий ремонт 

Продається простора 3-кімнатна квартира у новому жилому комплексі «Світло Парк» у Києві. Квартира після свіжого, якісного ремонту — готова для комфортного життя або здачі в оренду одразу.

Основні характеристики:
 • Площа: 77 м²
 • Стан: новий ремонт — стіни вирівняні і пофарбовані, підлога — ламінат та плитка (залежно від приміщення), якісна сантехніка.
 • Планування: 3 кімнати + кухня + передпокій + два санвузла — комфортне та зручне зонування для сім’ї.
 • Кухня: сучасний кухонний гарнітур, зручне місце під обідню зону, можливість поставити обідній стіл та холодильник.
 • Ванна/санвузол: в сучасному стилі, з новою сантехнікою, плиткою.
 • Освітлення: в квартирі встановлено сучасні світильники; наявні прилади освітлення — все нове та стильне.
 • Вікна: металопластикові, із сучасними склопакетами, що забезпечують тепло та шумоізоляцію.

Переваги житла та ЖК:
 • Новий ремонт = заощаджує ваш час та гроші — не треба додатково вкладатися.
 • Зручне планування для сім’ї або кількох мешканців.
 • ЖК «Світло Парк» — сучасний комплекс у розвитку, з тишею та комфортом, з хорошою інфраструктурою.
 • Зручне розташування: поруч є необхідна інфраструктура — магазини, транспорт, парки/зони відпочинку.
 • Квартира готова до заселення або здачі — мінімальне «входження».
 • Високий потенціал для здачі в оренду або комфортного проживання.

Ідеально підходить:
 • Для сім’ї з дітьми, яка шукає комфорт і простір,
 • Для пари або кількох людей,
 • Для інвесторів, які хочуть одразу здавати в оренду.",3-room,LUN
"Простора та світла 3-кімнатна квартира 149.3 м² з !!великою критою терасою. Є сховище та завжди є світло.

Пропонується до продажу простора дворівнева 3-кімнатна квартира у престижному будинку за адресою вул. Павлівська 26/41, Шевченківський район.

Будинок, побудований у 2003 році, має прекрасну тепло та шумоізоляцію та знаходиться в прекрасній локації, поряд з історичним центром міста, зручними виїздами з міста, в 15 хвилинах пішки від 3 станцій метро. Закрита територія, власний двір, підземний паркінг (можливе використання як бомбосховища). Світло є завжди. 

Квартира дворівнева, вхід на 09 поверсі, квартира на 10 невисокому поверсі -панорамний вид на місто. 2 квартири на поверсі. Загальна площа з терасою— 149.3м². Зручне планування• простора кухня-вітальня з виходом на терасу, спальня з окремою гардеробною кімнатою, санвузлом та побутовою кімнатою, окремий кабінет / гостьова/дитяча, 2 повноцінних санвузла (з ванною та душевою) і один гостьовий. Якісний сучасний ремонт, простора квартира з гарно продуманим зонуванням простору та освітленням. Квартира в дуже гарному стані: дорогі матеріали, техніка преміум-класу.

Розвинена інфраструктура: школи, дитячі садки, супермаркети, кафе, медичні заклади. Зручна транспортна розвязка.
Також за окрему плату пропонується паркомісце. 

Перегляди в зручний для Вас час.",3-room,LUN
"Стиль та якість неперевершеної квартири з авторським дизайном ремонту, сучасне планування: кухня вітальня, спальня, кабінет, велика гардероба кімната , ванна кімната з вікном, душова кабіна, вбудовані шафа-купе, меблі, техніка, камін, Н=3.6м, дореволюційний цегляний теплий будинок , перекриття: залізобетон, закритий двір, парковка, розвинена інфраструктура: поруч магазини, дитячі садочки, школа, поліклініка, парк Голосіівський, метро Деміївська- 3 хвилини. До центру -10 хвилин.",3-room,LUN
"Продаж квартири з якісним ремонтом.
 ЖК Новомостицько -Замковецький.
Вул. Сергія Данченка,32-А.
Три спальні, велика кухня, великий балкон, просторий коридор.
Зроблено якісний ремонт, на підлозі бельгійський ламінат -БАЛТЕРІО; кухня та коридор- плитка; сантехніка REHAU,ванна ROCA.
Квартира мебльована якісними меблями; створювалася з любовʼю, кожен міліметр квартири продуманий для комфортного проживання, багато ніш для зберігання речей; вбудована кухня, є посудомиюча машинка; нова пральна машинка з сушкою.
Квартира для молодої сім’ї, яка любить, щоб після смачної сімейної вечері, кожен міг усамітнитися у своїй кімнаті.
Приходь та переконайся на власні очі в ЕКСКЛЮЗИВНОСТІ цієї квартири.",3-room,LUN
"Без %

Продається простора 3-кімнатна квартира за адресою: Вулиця Рене Декарта, 6-А

Квартира розташована на комфортному 2 поверсі та має зручне двостороннє планування, що забезпечує гарне природне освітлення та провітрювання.

Планування:
• три окремі кімнати 18,5+14,5=14,3
• простора кухня - 7,6
• два балкони 
• роздільний санвузол

Квартира чудово підійде для сім’ї, яка цінує комфорт та функціональність.
Квартира в гарному житловому стані, заходь та живи, на полу лінолеум, санвузол плитка. Зручне розташування будинку, тихий двір та розвинена інфраструктура поруч. М. Нивки 5 мін пішки.

Телефонуйте для детальної інформації та перегляду квартири. Ключі на руках, перегляд у зручний для вас час.
Програми не розглядаємо.

Торгуємось до купівлі!",3-room,LUN
